run_time,model_name,accuracy,precision,recall,f1,tn,fp,fn,tp
2026-01-06T02:35:52,garak_llm_roberta_toxicity_classifier,0.879400061218243,0.9519797809604044,0.7702794819359237,0.8515448379804069,1743,57,337,1130
2026-01-06T02:36:00,junglelee_bert_toxic_comment_classification,0.8616467707376798,0.8158058494088364,0.8936605316973415,0.8529603122966819,1504,296,156,1311
2026-01-06T02:36:04,martin_ha_toxic_comment_model,0.8120599938781757,0.9630836047774158,0.6046353101567825,0.7428810720268006,1766,34,580,887
2026-01-06T02:36:13,nicholas_kluge_toxicity_model,0.8729721456994184,0.8714689265536724,0.8411724608043627,0.8560527228581339,1618,182,233,1234
2026-01-06T02:40:09,protectai_unbiased_toxic_roberta_onnx,0.8882767064585246,0.9408,0.8016359918200409,0.8656606551343393,1726,74,291,1176
2026-01-06T02:40:49,unitary_toxic_bert,0.9014386287113559,0.9139551699204628,0.8616223585548739,0.8870175438596491,1681,119,203,1264
